Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,PER,TS%,WS,WS/48,BPM,VORP,Player,Player-additional,Pos,PIS
25.0,72.0,15.3,2.0,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0.0,0.6,1.2,5.3,2024.0,9.3,0.555,1.3,0.059,-3.4,-0.4,Davion Mitchell,mitchda01,Meneur,-0.52
26.0,37.0,28.05,3.15,6.6,0.469,1.2,2.9000000000000004,0.403,2.0,3.75,0.5235000000000001,0.8500000000000001,1.2000000000000002,0.6890000000000001,0.5,1.85,2.3,4.949999999999999,1.0499999999999998,0.25,1.75,2.45,8.3,2025.0,10.4,0.5735,1.5,0.07250000000000001,-2.4499999999999997,-0.15,Davion Mitchell,mitchda01,Meneur,-0.44
27.0,21.5,6.2,0.55,1.4,0.5315,0.3,0.8,0.432,0.3,0.65,0.625,0.25,0.55,0.5,0.2,0.8500000000000001,1.05,0.5,0.35,0.05,0.3,0.7,1.65,2023.0,10.95,0.575,0.0,0.09949999999999999,-0.8999999999999999,-0.15,Davon Reed,reedda01,Arrière,-0.32
21.0,48.0,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,2023.0,17.8,0.581,1.6,0.139,-2.3,0.0,Day Ron Sharpe,sharpda01,Pivot,0.34
22.0,61.0,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,1.2,2.0,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8,2024.0,20.0,0.596,2.9,0.152,0.0,0.5,Day Ron Sharpe,sharpda01,Pivot,0.69
23.0,50.0,18.1,3.3,6.3,0.521,0.2,0.9,0.244,3.1,5.4,0.566,1.1,1.5,0.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9,2025.0,19.7,0.568,2.7,0.141,0.9,0.7,Day Ron Sharpe,sharpda01,Pivot,0.72
25.0,73.0,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,2023.0,21.8,0.599,7.4,0.146,2.5,2.7,De Aaron Fox,foxde01,Meneur,1.45
26.0,74.0,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,2024.0,20.1,0.567,6.5,0.117,2.7,3.2,De Aaron Fox,foxde01,Meneur,1.37
27.0,31.0,35.5,8.3,18.05,0.4575,1.75,6.0,0.29800000000000004,6.5,12.100000000000001,0.537,4.0,4.85,0.824,0.75,3.9,4.65,6.449999999999999,1.5,0.35,2.7,2.6500000000000004,22.35,2025.0,17.65,0.552,2.2,0.086,-0.4,0.65,De Aaron Fox,foxde01,Meneur,0.4
25.0,67.0,31.7,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,2023.0,11.5,0.563,2.5,0.057,-3.3,-0.7,De Andre Hunter,huntede01,Ailier,-0.56
26.0,57.0,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6,2024.0,12.7,0.595,2.2,0.062,-2.4,-0.2,De Andre Hunter,huntede01,Ailier,-0.23
27.0,32.0,26.9,5.5,11.65,0.473,2.4000000000000004,5.95,0.4095,3.05,5.699999999999999,0.5405,3.25,3.8499999999999996,0.8394999999999999,0.6499999999999999,3.4000000000000004,4.05,1.4,0.75,0.2,1.25,2.45,16.65,2025.0,16.0,0.625,2.2,0.1285,0.6000000000000001,0.5,De Andre Hunter,huntede01,Ailier,0.34
24.0,77.0,27.9,3.6,8.5,0.425,2.0,5.2,0.39,1.6,3.2,0.484,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2023.0,12.7,0.566,4.2,0.095,0.9,1.6,De Anthony Melton,meltode01,Arrière,0.31
25.0,38.0,26.9,3.7,9.5,0.386,2.0,5.6,0.36,1.6,3.8,0.425,1.7,2.1,0.835,0.7,3.0,3.7,3.0,1.6,0.4,1.0,2.2,11.1,2024.0,13.4,0.533,2.1,0.099,0.5,0.7,De Anthony Melton,meltode01,Arrière,0.16
26.0,6.0,20.2,3.7,9.0,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,2025.0,13.3,0.539,0.2,0.076,-0.8,0.0,De Anthony Melton,meltode01,Arrière,-0.16
34.0,39.0,15.0,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,0.6,1.2,0.458,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,2023.0,14.7,0.731,1.4,0.112,-1.8,0.0,Deandre Jordan,jordade01,Pivot,0.03
35.0,36.0,11.0,1.6,2.6,0.624,0.0,0.0,,1.6,2.6,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9,2024.0,16.0,0.61,1.2,0.147,-1.7,0.0,Deandre Jordan,jordade01,Pivot,0.27
36.0,56.0,12.3,1.6,2.5,0.65,0.0,0.0,,1.6,2.5,0.65,0.5,1.1,0.422,1.5,3.6,5.1,0.9,0.3,0.5,0.7,1.3,3.7,2025.0,15.4,0.621,1.8,0.127,-1.2,0.2,Deandre Jordan,jordade01,Pivot,0.2
26.0,9.0,16.7,1.9,5.6,0.34,0.4,1.4,0.308,1.4,4.1,0.351,0.6,1.2,0.455,0.9,4.0,4.9,2.9,0.7,0.2,1.0,1.6,4.8,2024.0,9.6,0.392,0.0,0.002,-4.0,-0.1,Dejon Jarreau,jarrede01,Arrière,-0.56
33.0,74.0,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,2023.0,20.6,0.592,8.5,0.153,2.0,2.6,Demar Derozan,derozde01,Ailier,1.35
34.0,79.0,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.0,24.0,2024.0,19.7,0.584,9.2,0.147,1.8,2.8,Demar Derozan,derozde01,Ailier,1.3
35.0,77.0,35.9,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,2025.0,17.7,0.569,7.1,0.123,-0.1,1.3,Demar Derozan,derozde01,Ailier,0.7
26.0,44.0,20.3,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.3,0.5,0.652,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,4.7,2023.0,8.5,0.55,1.8,0.097,-0.7,0.3,Dean Wade,wadede01,Ailier fort,-0.37
27.0,54.0,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,2024.0,10.2,0.598,2.5,0.11,0.1,0.6,Dean Wade,wadede01,Ailier fort,-0.06
28.0,59.0,21.2,1.9,4.6,0.413,1.4,3.8,0.36,0.5,0.8,0.653,0.3,0.5,0.533,0.9,3.4,4.2,1.3,0.7,0.3,0.4,1.7,5.4,2025.0,10.1,0.563,3.0,0.113,0.3,0.7,Dean Wade,wadede01,Ailier fort,-0.09
24.0,67.0,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,2023.0,19.9,0.617,6.2,0.147,0.9,1.5,Deandre Ayton,aytonde01,Pivot,0.96
25.0,55.0,32.4,7.8,13.6,0.57,0.0,0.2,0.1,7.7,13.4,0.576,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.0,16.7,2024.0,18.9,0.587,3.9,0.106,0.3,1.0,Deandre Ayton,aytonde01,Pivot,0.64
26.0,40.0,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,2025.0,17.7,0.583,2.8,0.113,-0.7,0.4,Deandre Ayton,aytonde01,Pivot,0.4
26.0,74.0,36.4,8.3,17.8,0.464,1.8,5.2,0.344,6.5,12.6,0.514,2.1,2.6,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,2023.0,17.0,0.54,4.7,0.084,1.0,2.1,Dejounte Murray,murrade01,Arrière,0.74
27.0,78.0,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6.0,11.7,0.518,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,2024.0,17.7,0.555,4.9,0.084,1.7,2.6,Dejounte Murray,murrade01,Arrière,0.95
28.0,31.0,32.6,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,3.3,4.0,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,2025.0,15.4,0.494,0.2,0.009,-1.6,0.1,Dejounte Murray,murrade01,Meneur,-0.15
30.0,50.0,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,2023.0,16.3,0.581,3.7,0.146,3.4,1.7,Delon Wright,wrighde01,Meneur,0.75
31.0,23.5,17.1,1.7,4.2,0.3935,0.6000000000000001,1.65,0.3675,1.05,2.55,0.41100000000000003,0.8,1.0,0.8205,0.4,1.45,1.85,2.55,1.25,0.2,0.25,0.7,4.75,2024.0,13.5,0.5085,0.8500000000000001,0.114,0.4,0.25,Delon Wright,wrighde01,Meneur,0.08
32.0,20.0,16.0,1.2000000000000002,3.35,0.3685,0.55,1.7999999999999998,0.28900000000000003,0.75,1.55,0.4515,0.35,0.6,0.615,0.75,0.8999999999999999,1.6,1.9500000000000002,0.9,0.25,0.55,0.6499999999999999,3.4,2025.0,9.9,0.46549999999999997,0.35,0.0655,-1.0,0.0,Delon Wright,wrighde01,Meneur,-0.45
22.0,76.0,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,2023.0,11.2,0.535,2.3,0.054,-2.3,-0.1,Deni Avdija,avdijde01,Ailier,-0.42
23.0,75.0,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,2024.0,14.9,0.597,3.2,0.068,-0.9,0.6,Deni Avdija,avdijde01,Ailier,0.16
24.0,72.0,30.0,5.6,11.7,0.476,1.7,4.8,0.365,3.8,7.0,0.552,4.0,5.2,0.78,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,2025.0,17.7,0.605,5.6,0.124,2.1,2.2,Deni Avdija,avdijde01,Ailier,0.97
29.0,66.0,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3.0,6.4,0.461,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,2023.0,11.5,0.545,2.8,0.068,-2.9,-0.4,Dennis Schroder,schrode01,Meneur,-0.44
30.0,40.0,31.3,5.1,11.85,0.433,1.8,4.699999999999999,0.381,3.3,7.1,0.4665,2.15,2.55,0.8245,0.5,2.5999999999999996,3.1,6.05,0.75,0.25,2.0,2.05,14.149999999999999,2024.0,13.100000000000001,0.547,1.65,0.059,-1.85,0.05,Dennis Schroder,schrode01,Meneur,-0.14
31.0,25.0,28.333333333333332,4.566666666666666,11.200000000000001,0.40166666666666667,1.7,5.033333333333333,0.337,2.8666666666666667,6.166666666666667,0.454,2.4,2.8333333333333335,0.8220000000000001,0.3666666666666667,2.3000000000000003,2.6333333333333333,5.433333333333334,0.8666666666666667,0.16666666666666666,1.9666666666666668,2.4,13.266666666666666,2025.0,12.433333333333332,0.5256666666666666,1.0999999999999999,0.07033333333333334,-2.4333333333333336,-0.033333333333333326,Dennis Schroder,schrode01,Meneur,-0.25
25.0,54.0,25.7,3.4,8.4,0.412,0.4,2.1,0.216,3.0,6.3,0.475,1.4,2.0,0.736,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8,2023.0,11.6,0.475,1.1,0.039,-2.2,-0.1,Dennis Smith Jr,smithde03,Meneur,-0.43
26.0,56.0,18.9,2.6,6.0,0.435,0.6,1.9,0.294,2.1,4.1,0.502,0.8,1.0,0.741,0.9,2.0,2.9,3.6,1.2,0.2,1.2,2.2,6.6,2024.0,13.4,0.508,1.8,0.08,-0.8,0.3,Dennis Smith Jr,smithde03,Meneur,0.01
29.0,2.0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,-12.6,0.0,0.0,-0.347,-24.2,0.0,Deonte Burton,burtode02,Ailier fort,-3.29
19.0,55.0,23.5,4.0,5.4,0.747,0.0,0.0,0.0,4.0,5.3,0.752,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,2024.0,18.1,0.728,4.9,0.183,0.5,0.8,Dereck Lively,livelde01,Pivot,0.72
20.0,36.0,23.1,3.7,5.3,0.702,0.0,0.0,,3.7,5.3,0.702,1.3,2.0,0.63,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,2025.0,20.1,0.704,3.4,0.199,3.3,1.1,Dereck Lively,livelde01,Pivot,1.03
22.0,5.0,2.4,0.4,1.0,0.4,0.0,0.0,,0.4,1.0,0.4,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,2023.0,4.6,0.4,0.0,-0.034,-11.3,0.0,Dereon Seabron,seabrde01,Arrière,-1.13
23.0,6.0,9.2,0.7,2.2,0.308,0.2,0.3,0.5,0.5,1.8,0.273,0.8,1.0,0.833,0.2,1.0,1.2,0.8,0.3,0.2,0.0,0.7,2.3,2024.0,9.2,0.448,0.1,0.087,-1.5,0.0,Dereon Seabron,seabrde01,Arrière,-0.35
25.0,64.0,14.0,1.8,3.6,0.5,0.4,1.3,0.338,1.4,2.3,0.587,1.0,1.3,0.738,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,5.0,2023.0,13.8,0.597,2.4,0.131,-0.4,0.3,Derrick Jones Jr,jonesde02,Ailier fort,0.11
26.0,76.0,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,1.3,1.8,0.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,2024.0,11.7,0.592,3.1,0.083,-1.5,0.2,Derrick Jones Jr,jonesde02,Ailier,-0.13
27.0,77.0,24.3,4.0,7.6,0.526,1.0,2.8,0.356,3.0,4.8,0.627,1.1,1.5,0.703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1,2025.0,13.5,0.609,4.7,0.12,-0.3,0.8,Derrick Jones Jr,jonesde02,Ailier,0.22
34.0,27.0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,2023.0,10.1,0.463,0.0,-0.001,-3.7,-0.1,Derrick Rose,rosede01,Meneur,-0.66
35.0,24.0,16.6,3.2,6.9,0.461,0.6,1.7,0.366,2.5,5.2,0.492,1.0,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0,2024.0,13.1,0.54,0.4,0.046,-2.8,-0.1,Derrick Rose,rosede01,Meneur,-0.21
28.0,82.0,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,2.0,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4,2023.0,15.4,0.604,7.4,0.154,2.4,2.6,Derrick White,whitede01,Arrière,0.97
29.0,73.0,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1.0,1.2,1.5,2.1,15.2,2024.0,16.9,0.611,8.5,0.171,3.8,3.5,Derrick White,whitede01,Arrière,1.36
30.0,76.0,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,2025.0,16.6,0.606,8.5,0.158,3.5,3.6,Derrick White,whitede01,Arrière,1.4
24.0,58.0,31.7,7.8,16.2,0.479,2.9,7.0,0.408,4.9,9.2,0.534,3.1,3.5,0.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5,2023.0,19.1,0.606,5.8,0.151,3.5,2.5,Desmond Bane,banede01,Arrière,1.21
25.0,42.0,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,2024.0,18.5,0.589,3.1,0.102,2.8,1.7,Desmond Bane,banede01,Arrière,0.8
26.0,69.0,32.0,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,2025.0,17.9,0.6,6.5,0.142,3.2,2.9,Desmond Bane,banede01,Arrière,1.25
26.0,53.0,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,2023.0,22.0,0.601,6.0,0.157,4.2,2.9,Devin Booker,bookede01,Arrière,1.55
27.0,68.0,36.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,2024.0,21.9,0.611,9.2,0.181,3.0,3.1,Devin Booker,bookede01,Meneur,1.62
28.0,75.0,37.3,8.7,18.9,0.461,2.4,7.3,0.332,6.3,11.6,0.542,5.8,6.4,0.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,2025.0,19.3,0.589,6.4,0.111,0.4,1.7,Devin Booker,bookede01,Arrière,0.91
22.0,36.0,11.0,1.3,3.5,0.37,0.5,1.7,0.295,0.8,1.8,0.439,0.7,1.2,0.591,0.5,1.6,2.1,1.1,0.6,0.1,0.5,1.1,3.8,2025.0,10.8,0.471,0.4,0.043,-3.2,-0.1,Devin Carter,cartede02,Meneur,-0.47
22.0,38.0,31.0,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,2023.0,15.5,0.55,1.2,0.051,0.4,0.7,Devin Vassell,vassede01,Arrière,0.12
23.0,68.0,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9.0,0.544,2.4,3.0,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,2024.0,15.7,0.578,3.6,0.077,0.0,1.1,Devin Vassell,vassede01,Arrière,0.38
24.0,64.0,31.0,6.2,13.9,0.443,2.5,6.7,0.368,3.7,7.2,0.513,1.5,1.9,0.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,2025.0,14.2,0.553,2.2,0.054,-1.1,0.4,Devin Vassell,vassede01,Arrière,-0.03
23.0,6.0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,2023.0,4.8,0.15,0.0,-0.025,-5.3,0.0,Devon Dotson,dotsode01,Meneur,-1.09
27.0,36.5,20.85,2.7,7.2,0.374,1.9500000000000002,5.5,0.3525,0.8,1.7000000000000002,0.4525,1.75,2.35,0.748,0.30000000000000004,1.6500000000000001,1.95,3.1,0.7,0.25,0.9,1.25,9.15,2023.0,12.7,0.552,1.3,0.087,-0.1,0.30000000000000004,Devonte Graham,grahade01,Meneur,-0.1
28.0,23.0,13.6,1.7,4.7,0.352,1.1,3.6,0.301,0.6,1.1,0.52,0.6,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6,5.0,2024.0,9.4,0.495,0.1,0.018,-3.9,-0.1,Devonte Graham,grahade01,Meneur,-0.53
33.0,19.0,10.6,1.85,3.55,0.5435,0.25,0.75,0.39849999999999997,1.65,2.8,0.588,0.6000000000000001,1.05,0.4635,0.8500000000000001,2.55,3.35,0.9,0.25,0.55,0.7,1.9,4.6,2023.0,15.55,0.5774999999999999,0.5,0.114,-1.25,0.0,Dewayne Dedmon,dedmode01,Pivot,0.1
24.0,4.0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,2024.0,18.3,0.541,0.0,0.004,1.7,0.0,Dexter Dennis,dennide01,Arrière,0.07
27.0,73.0,30.3,5.4,13.6,0.396,2.0,6.0,0.326,3.4,7.6,0.451,1.6,2.1,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,2023.0,9.4,0.494,1.6,0.034,-3.9,-1.1,Dillon Brooks,brookdi01,Ailier,-0.9
28.0,72.0,30.9,4.6,10.7,0.428,1.8,5.1,0.359,2.7,5.5,0.492,1.7,2.0,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7,2024.0,9.4,0.549,2.7,0.058,-3.6,-0.9,Dillon Brooks,brookdi01,Ailier,-0.66
29.0,75.0,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,2025.0,11.0,0.555,5.1,0.103,-1.4,0.4,Dillon Brooks,brookdi01,Ailier,-0.14
23.0,54.0,10.2,0.9,2.5,0.383,0.3,1.2,0.254,0.6,1.3,0.5,0.3,0.5,0.607,0.6,1.7,2.2,1.1,0.3,0.1,0.5,1.0,2.5,2025.0,8.1,0.464,0.8,0.067,-4.0,-0.3,Dillon Jones,jonesdi01,Ailier,-0.67
25.0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,-19.3,0.0,0.0,-0.483,-25.9,0.0,Dmytro Skapintsev,skapidm01,Pivot,-3.72
26.0,79.0,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,2023.0,23.5,0.668,12.6,0.221,5.8,5.4,Domantas Sabonis,sabondo01,Pivot,2.58
27.0,82.0,35.7,7.7,13.0,0.594,0.4,1.1,0.379,7.3,12.0,0.613,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4,2024.0,23.2,0.637,12.6,0.206,6.5,6.2,Domantas Sabonis,sabondo01,Pivot,2.63
28.0,70.0,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,2025.0,22.9,0.655,10.1,0.199,5.2,4.4,Domantas Sabonis,sabondo01,Pivot,2.24
19.0,28.0,14.6,1.6,3.1,0.535,0.0,0.1,0.0,1.6,2.9,0.561,0.6,0.9,0.72,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,2023.0,12.4,0.567,0.7,0.082,-4.6,-0.3,Dominick Barlow,barlodo01,Ailier fort,-0.31
20.0,33.0,12.7,1.7,3.4,0.496,0.1,0.3,0.333,1.6,3.2,0.51,0.9,1.3,0.69,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4,2024.0,14.6,0.548,1.1,0.126,-1.7,0.0,Dominick Barlow,barlodo01,Ailier fort,0.12
21.0,35.0,10.7,1.7,3.2,0.531,0.2,0.8,0.259,1.5,2.5,0.616,0.6,0.9,0.636,1.0,1.4,2.4,0.5,0.3,0.5,0.1,1.3,4.2,2025.0,14.6,0.58,1.0,0.131,-2.2,0.0,Dominick Barlow,barlodo01,Ailier,0.09
20.0,67.0,19.8,2.7,5.0,0.539,0.2,0.7,0.286,2.5,4.3,0.582,0.9,1.6,0.596,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,6.5,2025.0,17.4,0.574,4.0,0.144,-0.3,0.6,Donovan Clingan,clingdo01,Pivot,0.52
26.0,68.0,35.8,10.0,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,2023.0,22.9,0.614,8.9,0.176,6.3,5.0,Donovan Mitchell,mitchdo01,Arrière,2.29
27.0,55.0,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,2024.0,22.1,0.595,6.4,0.159,5.8,3.9,Donovan Mitchell,mitchdo01,Arrière,1.8
28.0,71.0,31.4,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,2025.0,20.9,0.575,7.6,0.163,3.7,3.2,Donovan Mitchell,mitchdo01,Arrière,1.62
21.0,2.0,2.0,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2023.0,14.5,0.4,0.0,-0.225,-15.2,0.0,Donovan Williams,willido02,Arrière,-0.96
26.0,72.0,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,2023.0,12.8,0.593,4.2,0.106,0.7,1.3,Donte Divincenzo,divindo01,Arrière,0.26
27.0,81.0,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2.0,3.7,0.542,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2.0,15.5,2024.0,16.0,0.597,6.6,0.135,3.4,3.2,Donte Divincenzo,divindo01,Arrière,1.13
28.0,62.0,25.9,4.0,9.6,0.422,2.8,7.1,0.397,1.2,2.5,0.49,0.8,1.0,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,2025.0,14.1,0.582,3.9,0.115,1.9,1.6,Donte Divincenzo,divindo01,Arrière,0.49
29.0,33.0,29.950000000000003,2.9000000000000004,7.55,0.38349999999999995,1.65,5.050000000000001,0.3305,1.25,2.5,0.494,0.7,0.85,0.7695000000000001,1.75,3.05,4.800000000000001,1.55,0.85,0.55,0.95,2.25,8.15,2023.0,8.85,0.5115000000000001,1.05,0.046,-2.4000000000000004,0.0,Dorian Finney Smith,finnedo01,Ailier fort,-0.58
