Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,PER,TS%,WS,WS/48,BPM,VORP,Player,Player-additional,Pos,PIS
26.0,76.0,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,5.1,0.578,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,2025.0,16.1,0.596,5.4,0.148,1.1,1.4,Aaron Wiggins,wiggiaa01,Arrière,0.67
24.0,2.0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,2024.0,0.6,0.214,0.0,-0.159,-10.6,0.0,Adam Flagler,flaglad01,Arrière,-1.55
25.0,37.0,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.3,0.6,0.458,0.0,0.1,0.5,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8,2025.0,3.7,0.335,-0.3,-0.062,-10.3,-0.4,Adam Flagler,flaglad01,Arrière,-1.4
21.0,9.0,7.3,1.6,3.0,0.519,0.0,0.0,,1.6,3.0,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0,2024.0,21.9,0.558,0.2,0.133,-6.7,-0.1,Adama Sanogo,sanogad01,Ailier fort,0.61
22.0,4.0,5.3,1.0,1.8,0.571,0.0,0.0,,1.0,1.8,0.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,2025.0,15.2,0.571,0.0,0.105,-2.6,0.0,Adama Sanogo,sanogad01,Pivot,0.07
21.0,58.0,15.6,2.3,3.3,0.703,0.0,0.0,0.0,2.3,3.3,0.707,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,2.2,5.8,2025.0,16.5,0.714,2.3,0.121,-2.7,-0.2,Adem Bona,bonaad01,Pivot,0.15
25.0,37.0,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2,2023.0,10.1,0.587,0.8,0.089,-2.9,-0.1,Admiral Schofield,schofad01,Ailier fort,-0.4
26.0,23.0,3.7,0.4,1.1,0.385,0.3,0.7,0.375,0.2,0.4,0.4,0.0,0.1,0.0,0.1,0.6,0.7,0.3,0.0,0.0,0.2,0.4,1.1,2024.0,6.0,0.484,0.0,0.006,-4.9,-0.1,Admiral Schofield,schofad01,Ailier fort,-0.8
22.0,36.0,16.6,2.5,5.1,0.495,0.6,1.7,0.383,1.9,3.4,0.548,0.8,1.0,0.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,1.9,6.5,2025.0,12.0,0.587,1.5,0.122,-1.6,0.1,Ajay Mitchell,mitchaj01,Arrière,-0.1
36.0,63.0,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,2023.0,13.8,0.631,6.3,0.157,3.3,2.5,Al Horford,horfoal01,Pivot,0.83
