Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Player-additional,Team_code,experience_year
Jaden Springer,HOU Rockets,4772772,2349578,2667944,0,0,0,4018363,sprinja01,HOU,3.0
Dwight Powell,DAL Mavericks,4000000,4000000,0,0,0,0,4000000,poweldw01,DAL,10.0
Day Ron Sharpe,BKN Nets,3989122,0,0,0,0,0,3989122,sharpda01,BKN,3.0
Santi Aldama,MEM Grizzlies,3960531,0,0,0,0,0,3960531,aldamsa01,MEM,3.0
Amir Coffey,LAC Clippers,3938271,0,0,0,0,0,3938271,coffeam01,LAC,5.0
Jalen Hood Schifino,UTA Jazz,3879840,0,0,0,0,0,3879840,hoodsja01,UTA,1.0
Kevin Love,MIA Heat,3850000,4150000,0,0,0,0,8000000,loveke01,MIA,16.0
Dalton Knecht,LAL Lakers,3819120,4010160,4201080,6452860,0,0,7829280,knechda01,LAL,0.0
Tari Eason,HOU Rockets,3695160,5675766,0,0,0,0,9370926,easonta01,HOU,2.0
Jaime Jaquez Jr,MIA Heat,3685800,3861600,5939141,0,0,0,7547400,jaqueja01,MIA,1.0
Tristan Da Silva,ORL Magic,3628440,3809520,3991200,6138466,0,0,7437960,dasiltr01,ORL,0.0
Brandin Podziemski,GSW Warriors,3519960,3687960,5679459,0,0,0,7207920,podzibr01,GSW,1.0
Dalen Terry,CHI Bulls,3510480,5399118,0,0,0,0,8909598,terryda01,CHI,2.0
Svi Mykhailiuk,UTA Jazz,3500000,3675000,3850000,4025000,0,0,3500000,mykhasv01,UTA,6.0
Cody Zeller,HOU Rockets,3500000,0,0,0,0,0,3500000,zelleco01,HOU,12.0
Ja Kobe Walter,TOR Raptors,3465000,3638160,3811800,5870172,0,0,7103160,walteja01,TOR,0.0
Cam Whitmore,HOU Rockets,3379080,3539760,5458310,0,0,0,6918840,whitmca01,HOU,1.0
Jake Laravia,SAC Kings,3352680,5163127,0,0,0,0,3352680,laravja01,SAC,2.0
Jaylon Tyson,CLE Cavaliers,3326160,3492480,3658560,5641500,0,0,6818640,tysonja01,CLE,0.0
