Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Player-additional,Team_code,experience_year
Jaden Springer,UTA Jazz,4772772,2349578,2667944,0,0,0,754409,sprinja01,UTA,3.0
Matt Ryan,NYC Knicks,621439,0,0,0,0,0,621439,ryanma01,NYC,3.0
Ryan Rollins,WAS Wizards,1091887,0,0,0,0,0,600000,rolliry01,WAS,2.0
Javonte Green,CLE Cavaliers,2328350,0,0,0,0,0,599862,greenja02,CLE,5.0
Brandon Boston Jr,NOP Pelicans,596581,2349578,0,0,0,0,596581,bostobr01,NOP,
Juwan Morgan,IND Pacers,576229,0,0,0,0,0,576229,morgaju01,IND,4.0
Malik Fitts,IND Pacers,555216,0,0,0,0,0,555216,fittsma01,IND,3.0
Jeenathan Williams,HOU Rockets,515881,2270735,2461462,2789215,0,0,515881,willije02,HOU,
Bismack Biyombo,SAS Spurs,647851,0,0,0,0,0,791818,biyombi01,SAS,13.0
Jaylen Clark,MIN Timberwolves,492323,2191897,0,0,0,0,2684220,clarkja02,MIN,0.0
Dominick Barlow,ATL Hawks,491887,2270735,0,0,0,0,2762622,barlodo01,ATL,2.0
Orlando Robinson,TOR Raptors,1691610,0,0,0,0,0,731831,robinor01,TOR,2.0
Ryan Rollins,MIL Bucks,1091887,0,0,0,0,0,491887,rolliry01,MIL,2.0
Mamadi Diakite,MEM Grizzlies,464050,464050,464050,0,0,0,1392150,diakima01,MEM,5.0
Quinten Post,GSW Warriors,438920,1955377,0,0,0,0,438920,postqu01,GSW,0.0
Pat Spencer,GSW Warriors,438810,0,0,0,0,0,438810,spencpa01,GSW,1.0
Justin Edwards,PHI 76ers,425619,1955377,0,0,0,0,425619,edwarju01,PHI,0.0
Ricky Rubio,CLE Cavaliers,424672,424672,424672,0,0,0,1274016,rubiori01,CLE,13.0
Lamar Stevens,MEM Grizzlies,623856,0,0,0,0,0,623856,stevela01,MEM,4.0
Branden Carlson,OKC Thunder,496519,0,0,0,0,0,496519,carlsbr01,OKC,0.0
Tony Bradley,IND Pacers,600545,2940876,0,0,0,0,600545,bradlto01,IND,6.0
Moses Brown,IND Pacers,426632,0,0,0,0,0,306660,brownmo01,IND,5.0
Jaylen Nowell,NOP Pelicans,446743,0,0,0,0,0,278782,nowelja01,NOP,5.0
Elfrid Payton,NOP Pelicans,789048,3153598,0,0,0,0,549104,paytoel01,NOP,8.0
Didi Louzada,POR Trail Blazers,268032,268032,268032,268032,268032,0,1340160,louzama01,POR,3.0
Kevin Knox,GSW Warriors,503883,0,0,0,0,0,503883,knoxke01,GSW,
Aj Griffin,HOU Rockets,250000,0,0,0,0,0,250000,griffaj01,HOU,3.0
P J Tucker,NYC Knicks,12025777,3468960,0,0,0,0,486777,tuckepj01,NYC,13.0
Jordan Goodwin,LAL Lakers,223718,2349578,0,0,0,0,223718,goodwjo01,LAL,3.0
Jaylen Nowell,WAS Wizards,446743,0,0,0,0,0,167961,nowelja01,WAS,5.0
Isaac Jones,SAC Kings,152957,1955377,0,0,0,0,152957,jonesis01,SAC,0.0
Malevy Leons,OKC Thunder,126356,0,0,0,0,0,126356,leonsma01,OKC,0.0
Chuma Okeke,PHI 76ers,355687,2546675,0,0,0,0,239944,okekech01,PHI,4.0
Elfrid Payton,CHA Hornets,789048,3153598,0,0,0,0,239944,paytoel01,CHA,8.0
Cole Swider,TOR Raptors,227947,0,0,0,0,0,227947,swideco01,TOR,2.0
Jalen Mcdaniels,WAS Wizards,4861772,0,0,0,0,0,119972,mcdanja01,WAS,5.0
Jared Rhoden,TOR Raptors,119972,0,0,0,0,0,119972,rhodeja01,TOR,2.0
Eugene Omoruyi,TOR Raptors,119972,0,0,0,0,0,119972,omorueu01,TOR,4.0
Terry Taylor,SAC Kings,119972,0,0,0,0,0,119972,taylote01,SAC,3.0
Skal Labissiere,SAC Kings,119972,0,0,0,0,0,119972,labissk01,SAC,4.0
Daishen Nix,SAC Kings,119972,0,0,0,0,0,119972,nixda01,SAC,3.0
Oshae Brissett,PHI 76ers,119972,0,0,0,0,0,119972,brissos01,PHI,5.0
David Roddy,PHI 76ers,2967212,0,0,0,0,0,119972,roddyda01,PHI,2.0
Mo Bamba,NOP Pelicans,2207491,0,0,0,0,0,119972,bambamo01,NOP,6.0
Jahlil Okafor,IND Pacers,119972,0,0,0,0,0,119972,okafoja01,IND,6.0
Moses Brown,DAL Mavericks,426632,0,0,0,0,0,119972,brownmo01,DAL,5.0
Malachi Flynn,CHA Hornets,119972,0,0,0,0,0,119972,flynnma01,CHA,4.0
Killian Hayes,BKN Nets,119972,0,0,0,0,0,119972,hayeski01,BKN,4.0
Kevon Harris,ATL Hawks,119972,0,0,0,0,0,119972,harrike01,ATL,3.0
Chuma Okeke,CLE Cavaliers,355687,2546675,0,0,0,0,115743,okekech01,CLE,4.0
Drew Timme,BKN Nets,113055,1955377,0,0,0,0,113055,timmedr01,BKN,0.0
Colin Castleton,TOR Raptors,421081,2191897,0,0,0,0,2505951,castlco01,TOR,1.0
Colin Castleton,PHI 76ers,421081,2191897,0,0,0,0,107027,castlco01,PHI,1.0
Marcus Garrett,CHA Hornets,107027,0,0,0,0,0,107027,garrema01,CHA,1.0
Javon Freeman Liberty,TOR Raptors,100000,0,0,0,0,0,100000,freemja01,TOR,2.0
Aj Lawson,TOR Raptors,100000,2270735,0,0,0,0,100000,lawsoaj01,TOR,
Marcus Bagley,PHI 76ers,126356,0,0,0,0,0,126356,baglema02,PHI,0.0
Kylor Kelley,NOP Pelicans,73153,0,0,0,0,0,73153,kelleky01,NOP,0.0
Jaylen Sims,CHA Hornets,73153,0,0,0,0,0,73153,simsja01,CHA,
Erik Stevenson,WAS Wizards,66503,0,0,0,0,0,66503,steveer01,WAS,
Phillip Wheeler,PHI 76ers,66503,0,0,0,0,0,66503,wheelph02,PHI,0.0
Yuri Collins,GSW Warriors,66503,0,0,0,0,0,66503,colliyu01,GSW,0.0
Nae Qwan Tomlin,CLE Cavaliers,66503,0,0,0,0,0,66503,tomlina01,CLE,0.0
Terence Davis,SAC Kings,64301,2546675,0,0,0,0,64301,daviste02,SAC,4.0
Brandon Williams,DAL Mavericks,47989,2270735,0,0,0,0,47989,willibr03,DAL,2.0
Javante Mccoy,DET Pistons,47265,0,0,0,0,0,47265,mccoyja01,DET,
Isaiah Mobley,PHI 76ers,11997,0,0,0,0,0,11997,mobleis01,PHI,2.0
Braxton Key,GSW Warriors,11997,0,0,0,0,0,11997,keybr01,GSW,3.0
Jd Davison,BOS Celtics,11997,2270735,0,0,0,0,11997,davisjd01,BOS,2.0
