player_id,nom,équipe,position,taille,poids,expérience (années),âge
1630604,E.J. Liddell,Bulls,Forward,6-6,240,1,25
203081,Damian Lillard,Bucks,Guard,6-2,195,12,35
1641726,Dereck Lively II,Mavericks,Center,7-1,230,1,21
1641753,Chris Livingston,Bucks,Forward,6-6,220,1,22
1626172,Kevon Looney,Warriors,Forward,6-9,222,9,29
201572,Brook Lopez,Bucks,Center,7-1,282,16,37
201567,Kevin Love,Heat,Forward-Center,6-8,251,16,37
200768,Kyle Lowry,76ers,Guard,6-0,196,18,39
1641754,Seth Lundy,Clippers,Guard-Forward,6-4,220,1,25
1626168,Trey Lyles,Kings,Forward,6-9,234,9,30
1630572,Sandro Mamukelashvili,Spurs,Forward-Center,6-9,240,3,26
1629611,Terance Mann,Hawks,Guard-Forward,6-5,215,5,29
1630544,Tre Mann,Hornets,Guard,6-3,178,3,24
1628374,Lauri Markkanen,Jazz,Forward-Center,7-0,240,7,28
1630230,Naji Marshall,Mavericks,Forward,6-6,220,4,27
1628997,Caleb Martin,Mavericks,Forward,6-5,205,5,30
1628998,Cody Martin,Suns,Forward,6-6,205,5,30
1641798,Jaylen Martin,Wizards,Guard,6-6,216,0,21
1630231,KJ Martin,Jazz,Forward,6-6,215,4,24
1631213,Tyrese Martin,Nets,Forward,6-6,215,1,26
1629726,Garrison Mathews,Hawks,Guard,6-6,215,5,29
1631097,Bennedict Mathurin,Pacers,Guard-Forward,6-5,210,2,23
1631255,Karlo Matković,Pelicans,Forward-Center,6-10,231,0,24
1630178,Tyrese Maxey,76ers,Guard,6-2,200,4,25
1630540,Miles McBride,Knicks,Guard,6-1,195,3,25
1642272,Jared McCain,76ers,Guard,6-3,195,0,21
1630644,Mac McClung,Magic,Guard,6-2,185,2,26
203468,CJ McCollum,Pelicans,Guard,6-3,190,11,34
204456,T.J. McConnell,Pacers,Guard,6-1,190,9,33
1641755,Kevin McCullar Jr.,Knicks,Guard,6-6,210,0,24
